countryIsoCode,country,year,value
PRY,Paraguay,2019,0.435
QAT,Qatar,2010,0.669
QAT,Qatar,2019,0.167
ROU,Romania,2010,0.343
ROU,Romania,2019,0.232
RUS,Russian Federation,2010,0.275
RUS,Russian Federation,2019,0.164
RWA,Rwanda,2010,0.453
RWA,Rwanda,2019,0.411
SAU,Saudi Arabia,2010,0.746
SAU,Saudi Arabia,2019,0.278
SDN,Sudan,2010,0.614
SDN,Sudan,2019,0.561
SEN,Senegal,2010,0.576
SEN,Senegal,2019,0.51
SGP,Singapore,2010,0.085
SGP,Singapore,2019,0.05
SLE,Sierra Leone,2010,0.652
SLE,Sierra Leone,2019,0.615
SLV,El Salvador,2010,0.396
SLV,El Salvador,2019,0.358
SRB,Serbia,2010,0.207
SRB,Serbia,2019,0.118
SUR,Suriname,2010,0.513
SUR,Suriname,2019,0.406
SVK,Slovakia,2010,0.203
SVK,Slovakia,2019,0.194
SVN,Slovenia,2010,0.128
SVN,Slovenia,2019,0.07
SWE,Sweden,2010,0.051
SWE,Sweden,2019,0.023
SWZ,Eswatini (Kingdom of),2019,0.521
SYR,Syrian Arab Republic,2010,0.493
SYR,Syrian Arab Republic,2019,0.487
TCD,Chad,2019,0.7
TGO,Togo,2010,0.627
TGO,Togo,2019,0.584
THA,Thailand,2010,0.365
THA,Thailand,2019,0.316
TJK,Tajikistan,2010,0.369
TJK,Tajikistan,2019,0.291
TLS,Timor-Leste,2010,0.53
TLS,Timor-Leste,2019,0.42
TON,Tonga,2019,0.43
TTO,Trinidad and Tobago,2010,0.335
TTO,Trinidad and Tobago,2019,0.269
TUN,Tunisia,2010,0.287
TUN,Tunisia,2019,0.262
TUR,Turkey,2010,0.416
TUR,Turkey,2019,0.277
TZA,Tanzania (United Republic of),2010,0.564
TZA,Tanzania (United Republic of),2019,0.52
UGA,Uganda,2010,0.549
UGA,Uganda,2019,0.528
UKR,Ukraine,2010,0.296
UKR,Ukraine,2019,0.158
URY,Uruguay,2010,0.324
URY,Uruguay,2019,0.267
USA,United States,2010,0.244
USA,United States,2019,0.192
